Tweet,Compound_Score,Sentiments
ipu adopt resolut leverag ict enabl educ includ time pandem resolut build experi remot learn especi covid expand access educ ipu,0.4588,Positif
th ipu general assembl encourag awaken tourism mice industri bali ipu ri,0.0,Netral
eea remov russia ipu,0.0,Netral
macdonald remov russia ipu,0.0,Netral
pleas launch handbook strengthen health secur prepared togeth time break cycl panic neglect world better prepar next global health emerg ipu,-0.0516,Negatif
exec sec robfloyd appeal univers adher treati reduc threat nuclear test weapon countri sign parliament ratifi treati yet enter forc ipu,-0.6808,Negatif
would like thank indonesia hospit ipu ter kas h cakartab,0.6124,Positif
peopl braver mr u standwithukrian stoprussia stopputin ipu,0.5267,Positif
near mps ipu women close absolut record ipu assembl almost mps lt absolut record new generat youngmp emerg encourag incent youth say yes campaign,0.4019,Positif
end ipu behalf vice presid senat hon warm welcom speaker head parliament th inter parliamentari union assembl relat meet held rwanda octob,0.2263,Positif
everi day civilian ukrainian die hous destroy live kyiv capit ukrain know next tomorrow pleas everyth stop busi russia complet provid us air defens ipu,-0.8625,Negatif
moroccan deleg present general debat th assembl inter parliamentari union ipu held bali indonesia propos creation parliamentari youth network climateact,0.2732,Positif
ipu member highlight progress climatechang measur take acceler decarbon heard testimoni samuelu penitala teo speaker tuvalu countri alreadi great affect rise sea level,0.8519,Positif
grate opportun apart guyana deleg th inter parliamentari union assembl bali indonesia proverb man gift maketh room bringeth great men ipu,0.7906,Positif
honor deleg netherland leader indonesia hous repres presid assembl ipu h e ri took pic notic,0.4939,Positif
immens pride close ipu success day nusa dua read outcom meet climatechang conflict ukrain well tool launch mps pr,0.7096,Positif
backdrop war ukrain ipu adopt resolut rethink refram approach peac process view foster last peac call parliament ensur peac process inclus possibl,-0.4939,Negatif
repres committe un affair repres amp id highlight un joint programm advocaci leav one behind amp work togeth mani front includ say manel ipu,0.34,Positif
lead australia deleg inter parliamentari union assembl indonesia absolut privileg fantast opportun demonstr ongo commit enhanc indo pacif region stabil econom resili ipu auspol,0.296,Positif
parti reflect ongo ukrain russia conflict histor ongo econom tie two countri well strengthen friendship work relat two sister parliament particular relat parliamentari diplomaci ipu,0.6124,Positif
met inspir except mp ipu consid vote mp year new ipu cremer passi award submiss deadlin april form avail onlin,0.5423,Positif
ipu condemn ongo russian use forc ukrain violat charter un includ principl sovereignti territori integr accord resolut emerg item,-0.3818,Negatif
ipu mobil parliament act climat emerg host ri th ipu assembl brought togeth nation parliament theme get zero mobil parliament act climatechang read press releas,0.0,Netral
iran sa share histor tie iran one countri fought alongsid south africa apartheid repress imposit econom sanction sever diplomat tie apartheid regim ipu,-0.3612,Negatif
togeth parliament iran like mind member parliament disagre resolut adopt general assembl ipu ukrain russia undermin role neutral imparti mediat,0.4939,Positif
na hous chairperson eff chief whip repres bilater meet repres parliament iran indonesia follow conclus th ipu assembl today ipu,0.0,Netral
close ipu madam speaker ri thank mps world travel indonesia th ipu assembl see octob kigali rwanda ipu,0.3612,Positif
get stori communic broad key success indonesian speaker host ipu close success assembl nusa dua see,0.8126,Positif
opportun parliamentarian act advoc leader support emerg prepared health secur recent handbook publish offer guidanc light covid pandem ipu,0.5574,Positif
clip deputi presid morn recommend inter parliamentari union pay specif attent happen swaziland led ipu,0.2732,Positif
deputi presid convers regard polit situat swaziland ipu,0.0,Netral
global health crise impact segment societi communiti world fulli protect new ipu report strengthen health secur prepared intern health regul handbook parliamentarian ipu,0.7003,Positif
floor discuss secretari general russia ukrain situat amp also eswatini need nation dialogu toward democraci part report present situat certain parliament world ipu,0.2732,Positif
one sa parliamentari deleg th inter parliamentari union assembl current underway indonesia hon implor ipu general council morn pay special attent human right abus lack poltic reform eswatini ipu,-0.0,Netral
speaker mapisa nqakula morn lead senior multiparti deleg south african parliamentarian final day th assembl inter parliamentari union deleg particip ipu assembl last day,0.0,Netral
eff chief whip part sa parliamentari deleg th assembl ipu indonesia chat mr martin chungong ipu secretari general discuss general council morn ipu,0.0,Netral
hous chairperson part parliamentari deleg th assembl inter parliamentari union conclud today particip general assembl session morn ipu,0.0,Netral
deleg invit contribut special account segment ipu follow action member ipu resolut highlight relev aspect work recommend enhanc implement,0.765,Positif
eff chief whip da member parliament dr part member sa parliamentari deleg particip general council th ipu assembl current underway bali indonesia ipu,0.0,Netral
today nusa dua ipu sg join launch handbook strengthen health secur prepared intern health regul download report,0.6597,Positif
intern health regul ihr design prevent spread diseas intern key element ihr mean parliamentarian ipu handbook joint publish offer insight ipu,0.0258,Positif
ncop deputi chairperson sylvia luca give feedback sa parliamentari deleg work particip th assembl inter parliamentari union current take place bali indonesia parliament tv channel ipu,0.0,Netral
leader member south african parliamentari deleg th assembl inter parliamentari union speaker mapisa nqakula today last day assembl current take place bali indonesia ipu,0.0,Netral
attend th session govern council ipu assembl nusa dua bali,0.0,Netral
health emerg easi becom distract immedi need respond crisi action mps take futur prepared new ipu handbook parliamentarian includ checklist help ipu,0.34,Positif
deliv speech behalf gopac global organ parliamentarian corrupt ipu assembl ri eng,0.0,Netral
record number youngmp nusa dua week mps ipu age pledg support youth join ipu campaign say yes,0.7845,Positif
live youngmp presid give youth report ipu,0.0,Netral
resolut peac resolut war ukrain respect intern law charter unitedn territori integr adopt consensus ipu made parliament reserv countri,-0.0258,Negatif
suspend membership sudan function parliament ipu,-0.3182,Negatif
wrap ipu provocateur debat youngmp un affair committe meet well co launch flagship global parliamentari report improv mp interact peopl see kigal ipu,0.3612,Positif
final day ipu assembl govern council end govern council follow assembl join convers ad ipu social post featur wall,0.296,Positif
sad mark worldtbday statist call mps ipu redoubl effort hold govern better account comprehens covid respons recoveri endtb,-0.0516,Negatif
great case studi innov public engag parliament fiji ipu pacif,0.6249,Positif
uk deleg ipu met bilater rwanda egypt amp germani mps amp support emerg item condemn putinswar ukrain spoke follow past assembl amp deliv plenari statement youngmp segment,0.0258,Positif
particip complet discus emerg item regard find peac resolut war ukrain ipu th general assembl,-0.5994,Negatif
follow resolut draft submit ipu peac settlement war ukrain complianc intern law charter preserv territori integr among statement resolut draft,-0.5994,Negatif
peopl braver mr u standwithukrian stoprussia stopputin ipu closetheskyoverukrain,0.5267,Positif
hon jeehan mahmood mp hinnavaru constitu rapporteur ipu draft committe emerg item present report assembl ipu,0.0,Netral
ipu throughout week upload imag live nusa dua indonesia view galleri pictur ipu th assembl,0.0,Netral
violenc women low intens war women strong statement hon sylvia luca deputi speaker african natl council provinc commit wah ipu mpsagainstcovid adolescentsa,-0.128,Negatif
ipu highlight speaker former presid fiji hon ratu epe nailatikau beam word wisdom launch global parliamentari report,0.7003,Positif
particip panel discuss intern cooper prosecut corrupt recov stolen asset ipu present measur undertaken india leadership hon ble pm shri ji transpar govern integr,-0.1779,Negatif
rwanda commit countri clean healthi environ resili climat variabl order support high qualiti life citizen ipu full speech,0.765,Positif
today vice presid senat deliv remark plenari assembl ipu bali indonesia rwanda measur climat chang,0.0,Netral
opposit chief whip jone cement posit climat chang th ipu read video link ipu,0.0,Netral
ipu condemn ongo russian use forc ukrain violat charter un includ principl sovereignti territori integr accord resolut emerg item read pr,-0.3818,Negatif
speaker na hon prof peter katjavivi say even though namibia contribut greenhous gas emiss neglig continu bear brunt climat chang hon katjavivi said ongo ipu assembl underway bali indonesia climatechang,0.0,Netral
condemn russian war ukrain ipu assembl adopt emerg resolut peac resolut war ukrain respect intern law charter territori integr,-0.765,Negatif
ukrainian women realiz potenti build futur becom everyth becom instead hide russian bomb lose children suffer violenc occupi teritori ipu,-0.8779,Negatif
russian aggress danger whole world last argument russia alway use nuclear weapon ipu,-0.8555,Negatif
right thank everi day civilian ukrainian die hous destroy live kyiv capit ukrain give us air defens plane win safeairliftukrain protectuaski genocideofukrainian ipu,-0.2732,Negatif
iryna venediktova prosecutor general ukrain declar suspicion commit rape russian soldier ukrain first legal case last everyon must punish crime ipu,-0.91,Negatif
sure russia stop ukrain putin attack poland slovakia romania also say want war help ukrain afraid putin safeairliftukrain protectuaski genocideofukrainian ipu,-0.5994,Negatif
like would great ipu pleas lac region cluster meet panama look forward meet communiti group morn,0.765,Positif
hon mohabir anil nandlal p attorney general amp minist legal affair made contribut th inter parliamentari union assembl general debat video link ipu,0.128,Positif
senat mureshyankwano mupenzi exchang citizen well public engag key work ipu,0.2732,Positif
sidelin ipu vice presid senat meet duart pacheco presid interact among thing prepared parliament rwanda host th ipu assembl octob,0.2263,Positif
parliamentarian ipu respons report back home parliament emerg motion adopt ukrain,0.1779,Positif
wrap weeklong product seri meet ipu bali incl w dynam young mps like zh amp pleasant surpris catch w dear friend amp alli former role mp un host field visit,0.891,Positif
leav one behind mean reach women amp margin group experi violenc includ live hiv focus need field mission bali ipu,0.0258,Positif
look forward exchang knowledg insight promot leadership amp particip women live hiv amp network key decis make process amp acceler progress toward achiev sdgs particular sdg amp ipu,0.4215,Positif
passion make process excit never make thing easi inspir startup power ipu ipl ukrain ukrain,0.4588,Positif
committe gather learn joint amp id project hear frontlin servic provid address violenc women live hiv includ import coordin qualiti servic ipu,0.0,Netral
parliament continu concern conflict threaten global peac secur economi call immedi cessat hostil dialogu mediat negoti ipu,-0.5994,Negatif
express object certain part resolut therefor must record consensus ipu,0.2732,Positif
said speaker state onset resolut divis condemnatori accusatori may inflam tension escal alreadi worsen situat ipu,-0.6808,Negatif
speaker nation assembl along side speaker countri also express formal object secretariat general assembl characteris decis resolut consensus ipu,0.0,Netral
deleg believ undermin essenti principl neutral imparti would make ipu credibl mediat peac ipu,0.0,Netral
delicaci patienc listen understand parti conflict irrespect strong arbitr feel conflict ipu,-0.0772,Negatif
inter parliamentari union found year ago first multilater organis world sole purpos arbitr conflict peac build ipu,-0.3182,Negatif
ipu role oblig imparti mediat peac resolut conflict ipu,-0.3182,Negatif
speaker nation assembl ms nosiviw mapisa nqakula lead seven member deleg senior parliamentarian ipu assembl current underway bali indonesia ipu,0.0,Netral
south african parliamentari deleg th assembl inter parliamentari union express parliament reserv resolut adopt general assembl world bodi parliament conflict russia ukrain ipu,-0.1531,Negatif
committe gather learn joint amp id project hear frontlin servic provid address violenc women live hiv includ import coordin qualiti servic ipu,0.0,Netral
never known geographi ukrain better today check citi bombard verg humanitarian catastroph occupi discuss rout escap love one educ ipu,0.7964,Positif
chernobyl laboratori destroy russian ukrain stoprussia ipu stopputin standwithukrain chernobyl,-0.5423,Negatif
belarus armi prepar invad ukrain command russia offic meanwhil ipu belarus mps draft committe resolut ukrain argu aggress wrong mani level,-0.6597,Negatif
sinc russian invas children die ukrain injur ipu,-0.5994,Negatif
clear russia aim conquer ukrain destroy captur citi leav scorch earth plan use land resourc want us none ipu,-0.1531,Negatif
ipu general debat parliament around world agre much time left act local state level worldwid mitig climat chang context also emphasis nexus green secur polici,0.0,Netral
ipu topic get zero mobil parliament act climat chang russian repres talk bad us countri destroy ukrain natur kill human amp anim real time turn peac countri ash,-0.9136,Negatif
speaker nadir attorney general nandlal make stern call th ipu assembl serious intent action fight climat chang read ipu,-0.4404,Negatif
ipu reunion indonesia head amp women indonesia head present mps ipu un affair committe encourag parliament engag hlpf amp un process,0.0,Netral
hon jeehan mahmood mp hinnavaru constitu speak meet stand committe democraci human right ipu,0.0,Netral
reinforc sustain cultur trust mutual account level prime object btw parliament btw member parliament w ipu secretariat today ipu heard member follow action,0.5106,Positif
ipu reunion offici launch amp follow record address parliament account elect leverag digit outreach solut,0.2732,Positif
today emphat reject master narrat russia ukrain conflict call inter parliamentari union imparti arbitr conflict peac build refus coerc master narrat imperialist ipu,-0.743,Negatif
speaker nation assembl ms nosiviw mapisa nqakula lead south african parliament high level deleg th assembl ipu consult speaker parliament zimbabw hon adv jacob franci nzwidamilimo mudenda,0.0,Netral
ipu reunion five overal aim assembl mobil parliament act decis climatechang anticip juli knowledg exchang secretariat small branch sid parliament existenti issu,0.0,Netral
war ukrain respect intern law charter unit nation territori integr ipu,-0.2023,Negatif
south african parliament high level deleg th assembl ipu current underway nusa dua indonesia attend sit general assembl adopt motion peac resolut,0.1779,Positif
member driven organ ipu want strengthen account member parliament ipu general debat reflect follow action member ipu resolut order enhanc account,0.3818,Positif
strong support emerg item resolut adopt today march consensus ipu peac resolut war ukrain respect intern law charter unit nation territori integr,0.7096,Positif
deleg peopl majli attend th assembl ipu,0.0,Netral
hon necessari pain arbitr demand involv arbitr mediat imparti must accept parti conflict imparti ipu,-0.5423,Negatif
sa parliamentari deleg th assembl inter parliamentari union hon today express deleg reserv general assembl russia ukrain resolut adopt today compromis ipu role imparti mediat ipu,0.1779,Positif
account segment ipu follow action ipu resolut critic ensur progress toward strateg object sustain occur transpar democrat manner deleg invit contribut,0.1779,Positif
member south african parliament high level deleg th assembl ipu ms dori dlakud attend meet stand committe unit nation un affair look way improv relat un parliament,0.0,Netral
special account segment ipu indonesia nepal paraguay sweden uk bahrain belarus india ecuador morocco pakistan zambia sierraleon present follow action ipu resolut live,0.4019,Positif
rethink refram approach peac process view foster last peac draft motion adopt unanim ipu,0.1779,Positif
member south african parliament high level deleg th assembl ipu ms fikil masiko ms sylvia luca attend meet stand committe peac intern secur adopt committe draft motion,0.1779,Positif
proud receiv award strong commit world free nuclear test robfloyd ipu pin honour recognit ipu unwav support peac secur everyon,0.9674,Positif
hon wilhelmina tebogo offer last intervent day close panel discuss thank join us today hope discuss today give everyon concret idea action take home ipu,0.765,Positif
th assembl ipu host high anticip agenda item afternoon gmt adopt draft motion peac resolut war ukrain respect intern law charter unit nation territori integr,-0.0258,Negatif
menjadi pembicara kunci dlm panel discuss westminst foundat democraci wfd ipu th assembl ttg role parliament acceler climat action deliveri democraci indonesia ri ipu,0.0,Netral
hon offer context climat chang affect countri ask local govern author also elig access intern fund stopclimatechang ipu,0.0,Netral
first round q amp hon underlin need better awar climat emerg ask inform greeneconomi approach share hon earlier ipu,0.6249,Positif
parliament remov russia ipu,0.0,Netral
menghadiri stand committe democraci human right ipu th assembl ri ipu,0.0,Netral
vice chair hon repres eng ipu general debat call parliamentarian monitor implement net zero pledg amp net project ensur transpar account nation intern climat action,0.0,Netral
honour meet mps senat netherland ipu lead geopolit group support ukrain condemn putinswar,0.5859,Positif
hon waven william also vp sustain develop committe commend point share earlier note time parliament act concret leverag forum ipu demand ambiti commit,0.7003,Positif
ipu kharkiv kiew ukraineunderattack condemn russian invas ukrain,-0.3818,Negatif
hon highlight need equit solut stopclimatechang invit countri democraci collabor sri lanka design equit solut togeth ipu,0.34,Positif
ipu general debat statement highlight challeng face world mps address displac peopl amp communiti much humanitarian impact insecur amp war like ukrain dire effect climatecrisi,-0.4588,Negatif
hold govern account strengthen parliamentari oversight listen expert engag civil societi reform build forward build back better ipu democraci,0.6369,Positif
togeth make differ turn tide ipu,0.0,Netral
joint session democraci amp role parliament acceler climat action deliveri march th ipu,0.0,Netral
hon also join panel highlight initi ri done address climat emerg collabor democraci climat budget tag green financ regulatori impact assess environ ipu,0.5574,Positif
speak assembl standwithukrain ipu,0.0,Netral
world must take action end nucleartest time come word enough want return dark day past live fear nuclearwar robfloyd ipu,-0.4404,Negatif
ctbto execut secretari robfloyd met chairman nation assembl nepal ganesh prasad timilsina ipu nepal commit end nuclear test reflect belief nuclear disarma support intern peac secur,0.5994,Positif
hon chair ri committe deliv keynot speech highlight strong support democraci mainstream environment democraci emphas need equit solut stopclimatechang ipu,0.8126,Positif
start join us jakarta room nd floor bicc ipu via zoom discuss parliamentarian acceler climateact deliveri chair hon stopclimatechang ri,0.296,Positif
ipu field mission un project site bali ipu unwomen,0.0,Netral
world situat thought would never long nuclear weapon remain alway risk essenti tool work toward nuclear free world prevent nuclearwar ipu ipu,0.4919,Positif
current context emphas need practic pathway nuclear disarma global wide support end nuclear test everi ratif convent step toward entri forc peac agenda ipu,0.4019,Positif
committe democraci human right ipu,0.0,Netral
live th ipu assembl social wall share content throughout week use hashtag ipu sure work access learn,0.5423,Positif
attempt boycott russia fail ipu remov russia ipu fail ukrain still realis usa amp nato full amp instig ukrainewar zelenskyy speak watch calm countri burn shame patriot,-0.8779,Negatif
miss democraci ipu panel discuss today pm wita utc featur mps across uk indonesia indonesia austria sri lanka waven william seychell,-0.1531,Negatif
ipu wednesday march stand committe meet democraci humanright peac intern secur unit nation affair sustainabledevelop full programm,0.0,Netral
